lipids	converted_lipid_name
CL 80:6|CL 36:1_44:5	CL 80:6(x)|CL 36:1_44:5(x2)
CL 80:8|CL 36:2_44:6	CL 80:8(x)|CL 36:2_44:6(x2)
CL 81:6|CL 43:2_38:4	CL 81:6(x)|CL 43:2_38:4(x2)
CL 82:14|CL 18:0_20:4_22:5_22:5	CL 82:14(x)|CL 18:0_20:4_22:5_22:5(x2)
CL 82:15|CL 18:0_20:4_22:5_22:6	CL 82:15(x)|CL 18:0_20:4_22:5_22:6(x2)
CL 82:1|CL 18:0_22:0_24:0_18:1	CL 82:1(x)|CL 18:0_22:0_24:0_18:1(x2)
CL 82:4|CL 28:0_18:1_18:1_18:2	CL 82:4(x)|CL 28:0_18:1_18:1_18:2(x2)
CL 82:5|CL 41:1_41:4	CL 82:5(x)|CL 41:1_41:4(x2)
CL 82:5|CL 44:1_38:4	CL 82:5(x)|CL 44:1_38:4(x2)
CL 82:6|CL 18:0_22:6_18:0_24:0	CL 82:6(x)|CL 18:0_22:6_18:0_24:0(x2)
CL 82:6|CL 26:0_18:1_18:1_20:4	CL 82:6(x)|CL 26:0_18:1_18:1_20:4(x2)
CL 82:7|CL 18:0_24:0_20:3_20:4	CL 82:7(x)|CL 18:0_24:0_20:3_20:4(x2)
CL 82:7|CL 26:0_18:1_18:2_20:4	CL 82:7(x)|CL 26:0_18:1_18:2_20:4(x2)
CL 84:12|CL 16:0_24:0_22:6_22:6	CL 84:12(x)|CL 16:0_24:0_22:6_22:6(x2)
CL 84:17|CL 18:0_22:6_22:5_22:6	CL 84:17(x)|CL 18:0_22:6_22:5_22:6(x2)
CL 85:10|CL 28:0_17:2_18:2_22:6	CL 85:10(x)|CL 28:0_17:2_18:2_22:6(x2)
CL 85:8|CL 28:0_17:2_20:3_20:3	CL 85:8(x)|CL 28:0_17:2_20:3_20:3(x2)
CL 86:11|CL 26:0_18:2_20:4_22:5	CL 86:11(x)|CL 26:0_18:2_20:4_22:5(x2)
