lipids	converted_lipid_name
CL 72:5|CL 18:1_18:1_18:1_18:2	CL 72:5(m)|CL 18:1_18:1_18:1_18:2(m2)
CL 72:5|CL 36:2_36:3	CL 72:5(m)|CL 36:2_36:3(m2)
CL 72:6|CL 18:1_18:1_18:2_18:2	CL 72:6(m)|CL 18:1_18:1_18:2_18:2(m2)
CL 72:6|CL 18:1_18:2_18:1_18:2	CL 72:6(m)|CL 18:1_18:2_18:1_18:2(m2)
CL 72:6|CL 36:2_36:4	CL 72:6(m)|CL 36:2_36:4(m2)
CL 72:7|CL 18:1_18:2_18:2_18:2	CL 72:7(m)|CL 18:1_18:2_18:2_18:2(m2)
CL 72:7|CL 36:3_36:4	CL 72:7(m)|CL 36:3_36:4(m2)
CL 72:8|CL 18:2_18:2_18:2_18:2	CL 72:8(m)|CL 18:2_18:2_18:2_18:2(m2)
CL 72:8|CL 36:4_36:4	CL 72:8(m)|CL 36:4_36:4(m2)
CL 72:9|CL 18:2_18:2_18:2_18:3	CL 72:9(m)|CL 18:2_18:2_18:2_18:3(m2)
CL 72:9|CL 36:4_36:5	CL 72:9(m)|CL 36:4_36:5(m2)
CL 73:10|CL 36:3_37:7	CL 73:10(m)|CL 36:3_37:7(m2)
CL 73:11|CL 36:4_37:7	CL 73:11(m)|CL 36:4_37:7(m2)
CL 73:6|CL 36:3_37:3	CL 73:6(m)|CL 36:3_37:3(m2)
CL 73:7|CL 36:3_37:4	CL 73:7(m)|CL 36:3_37:4(m2)
CL 73:7|CL 37:3_36:4	CL 73:7(m)|CL 37:3_36:4(m2)
CL 73:8|CL 16:1_20:3_17:1_20:3	CL 73:8(m)|CL 16:1_20:3_17:1_20:3(m2)
CL 74:10|CL 18:2_18:2_18:2_20:4	CL 74:10(m)|CL 18:2_18:2_18:2_20:4(m2)
CL 74:10|CL 36:4_38:6	CL 74:10(m)|CL 36:4_38:6(m2)
CL 74:11|CL 16:1_18:2_18:2_22:6	CL 74:11(m)|CL 16:1_18:2_18:2_22:6(m2)
CL 74:11|CL 34:3_40:8	CL 74:11(m)|CL 34:3_40:8(m2)
CL 74:12|CL 34:4_40:8	CL 74:12(m)|CL 34:4_40:8(m2)
CL 74:1|CL 16:0_16:0_24:0_18:1	CL 74:1(m)|CL 16:0_16:0_24:0_18:1(m2)
CL 74:6|CL 18:1_18:1_18:1_20:3	CL 74:6(m)|CL 18:1_18:1_18:1_20:3(m2)
CL 74:6|CL 36:3_38:3	CL 74:6(m)|CL 36:3_38:3(m2)
CL 74:7|CL 18:1_18:1_18:2_20:3	CL 74:7(m)|CL 18:1_18:1_18:2_20:3(m2)
CL 74:7|CL 18:1_18:2_18:1_20:3	CL 74:7(m)|CL 18:1_18:2_18:1_20:3(m2)
CL 74:7|CL 36:3_38:4	CL 74:7(m)|CL 36:3_38:4(m2)
CL 74:8|CL 18:1_18:2_18:2_20:3	CL 74:8(m)|CL 18:1_18:2_18:2_20:3(m2)
CL 74:8|CL 36:4_38:4	CL 74:8(m)|CL 36:4_38:4(m2)
CL 74:9|CL 18:2_18:2_18:2_20:3	CL 74:9(m)|CL 18:2_18:2_18:2_20:3(m2)
CL 74:9|CL 36:4_38:5	CL 74:9(m)|CL 36:4_38:5(m2)
CL 75:10|CL 17:1_18:1_18:2_22:6	CL 75:10(m)|CL 17:1_18:1_18:2_22:6(m2)
CL 75:10|CL 36:3_39:7	CL 75:10(m)|CL 36:3_39:7(m2)
CL 75:11|CL 35:3_40:8	CL 75:11(m)|CL 35:3_40:8(m2)
CL 75:11|CL 36:4_39:7	CL 75:11(m)|CL 36:4_39:7(m2)
CL 75:12|CL 36:4_39:8	CL 75:12(m)|CL 36:4_39:8(m2)
CL 75:13|CL 36:4_39:9	CL 75:13(m)|CL 36:4_39:9(m2)
CL 75:6|CL 17:0_18:0_18:0_22:6	CL 75:6(m)|CL 17:0_18:0_18:0_22:6(m2)
CL 75:6|CL 37:2_38:4	CL 75:6(m)|CL 37:2_38:4(m2)
CL 76:10|CL 18:1_18:2_18:1_22:6	CL 76:10(m)|CL 18:1_18:2_18:1_22:6(m2)
CL 76:10|CL 36:3_40:7	CL 76:10(m)|CL 36:3_40:7(m2)
CL 76:11|CL 18:1_18:2_18:2_22:6	CL 76:11(m)|CL 18:1_18:2_18:2_22:6(m2)
CL 76:11|CL 36:3_40:8	CL 76:11(m)|CL 36:3_40:8(m2)
CL 76:12|CL 18:2_18:2_18:2_22:6	CL 76:12(m)|CL 18:2_18:2_18:2_22:6(m2)
CL 76:12|CL 36:4_40:8	CL 76:12(m)|CL 36:4_40:8(m2)
CL 76:13|CL 18:2_18:3_18:2_22:6	CL 76:13(m)|CL 18:2_18:3_18:2_22:6(m2)
