lipids	converted_lipid_name
CL 90:16|CL 26:0_20:4_22:6_22:6	CL 90:16(m)|CL 26:0_20:4_22:6_22:6(m2)
CL 90:18|CL 24:0_22:6_22:6_22:6	CL 90:18(m)|CL 24:0_22:6_22:6_22:6(m2)
CL 91:2|CL 18:0_28:0_28:0_17:2	CL 91:2(m)|CL 18:0_28:0_28:0_17:2(m2)
Cer 34:1;O2|Cer 18:1;O2/16:0	Cer 34:1(O2)|Cer 18:1(O2/16:0)
Cer 35:1;O2|Cer 17:1;O2/18:0	Cer 35:1(O2)|Cer 17:1(O2/18:0)
Cer 36:0;O2|Cer 18:0;O2/18:0	Cer 36:0(O2)|Cer 18:0(O2/18:0)
Cer 36:1;O2|Cer 18:1;O2/18:0	Cer 36:1(O2)|Cer 18:1(O2/18:0)
Cer 36:2;O2|Cer 18:2;O2/18:0	Cer 36:2(O2)|Cer 18:2(O2/18:0)
Cer 37:1;O2|Cer 18:1;O2/19:0	Cer 37:1(O2)|Cer 18:1(O2/19:0)
Cer 37:1;O4|Cer 20:0;O3/17:1(2OH)	Cer 37:1(O4)|Cer 20:0(O3/17:1(2OH))
Cer 37:2;O3|Cer 18:1;O2/19:1;O	Cer 37:2(O3)|Cer 18:1(O2/19:1;O)
Cer 38:0;O2|Cer 20:0;O2/18:0	Cer 38:0(O2)|Cer 20:0(O2/18:0)
Cer 38:1;O2|Cer 18:1;O2/20:0	Cer 38:1(O2)|Cer 18:1(O2/20:0)
Cer 38:6;O2|Cer 12:2;O2/26:4	Cer 38:6(O2)|Cer 12:2(O2/26:4)
Cer 39:6;O2|Cer 18:1;O2/21:5	Cer 39:6(O2)|Cer 18:1(O2/21:5)
Cer 40:1;O2|Cer 18:1;O2/22:0	Cer 40:1(O2)|Cer 18:1(O2/22:0)
Cer 40:3;O2|Cer 29:3;O2/11:0	Cer 40:3(O2)|Cer 29:3(O2/11:0)
Cer 41:1;O2|Cer 18:1;O2/23:0	Cer 41:1(O2)|Cer 18:1(O2/23:0)
