lipids	converted_lipid_name
DGCC 34:1|DGCC 16:0_18:1	DGCC 34:1(m)|DGCC 16:0_18:1(m2)
DGCC 34:2|DGCC 16:1_18:1	DGCC 34:2(m)|DGCC 16:1_18:1(m2)
DGCC 35:1|DGCC 16:0_19:1	DGCC 35:1(m)|DGCC 16:0_19:1(m2)
DGCC 35:2	DGCC 35:2
DGCC 36:2|DGCC 18:1_18:1	DGCC 36:2(m)|DGCC 18:1_18:1(m2)
DGCC 37:2	DGCC 37:2
DGCC 37:2|DGCC 18:1_19:1	DGCC 37:2(m)|DGCC 18:1_19:1(m2)
DGGA 34:1|DGGA 16:0_18:1	DGGA 34:1(m)|DGGA 16:0_18:1(m2)
DGGA 36:2|DGGA 18:1_18:1	DGGA 36:2(m)|DGGA 18:1_18:1(m2)
FA 14:1;O2	FA 14:1(O2)
FA 15:4	FA 15:4
FA 16:0	FA 16:0
FA 16:1	FA 16:1
FA 16:1;O2	FA 16:1(O2)
FA 16:2;O3	FA 16:2(O3)
FA 17:1;O2	FA 17:1(O2)
FA 18:0	FA 18:0
FA 18:0;O	FA 18:0(O)
FA 18:1	FA 18:1
FA 18:1;O2	FA 18:1(O2)
FA 18:1;O3	FA 18:1(O3)
FA 18:2	FA 18:2
FA 18:2;O2	FA 18:2(O2)
FA 18:2;O3	FA 18:2(O3)
FA 19:1;O2	FA 19:1(O2)
FA 19:2;O2	FA 19:2(O2)
FA 20:1;O2	FA 20:1(O2)
FA 20:2;O3	FA 20:2(O3)
FA 22:1;O2	FA 22:1(O2)
FA 26:6	FA 26:6
FA 28:7	FA 28:7
FA 32:5	FA 32:5
FA 32:6	FA 32:6
FA 34:5	FA 34:5
FA 34:6	FA 34:6
FA 36:6	FA 36:6
FA 38:6	FA 38:6
FA 40:5	FA 40:5
FA 40:6	FA 40:6
FA 40:7	FA 40:7
FA 42:5	FA 42:5
FAHFA 27:0;O|FAHFA 18:0/9:0;O	FAHFA 27:0(O)|FAHFA 18:0/9:0(O)
GM3 36:1;O2	GM3 36:1(O2)
GM3 40:1;O2	GM3 40:1(O2)
GM3 42:2;O2	GM3 42:2(O2)
HBMP 42:3|HBMP 14:1_14:1_14:1	HBMP 42:3(m)|HBMP 14:1_14:1_14:1(m2)
HexCer 36:1;O2|HexCer 18:1;O2/18:0	HexCer 36:1(O2)|HexCer 18:1(O2/18:0)
HexCer 38:1;O2|HexCer 18:1;O2/20:0	HexCer 38:1(O2)|HexCer 18:1(O2/20:0)
HexCer 38:1;O3|HexCer 18:1;O2/20:0;O	HexCer 38:1(O3)|HexCer 18:1(O2/20:0;O)
HexCer 40:1;O2|HexCer 18:1;O2/22:0	HexCer 40:1(O2)|HexCer 18:1(O2/22:0)
HexCer 40:1;O3|HexCer 18:1;O2/22:0;O	HexCer 40:1(O3)|HexCer 18:1(O2/22:0;O)
HexCer 41:1;O2|HexCer 18:1;O2/23:0	HexCer 41:1(O2)|HexCer 18:1(O2/23:0)
HexCer 41:1;O3|HexCer 18:1;O2/23:0;O	HexCer 41:1(O3)|HexCer 18:1(O2/23:0;O)
HexCer 42:1;O2|HexCer 18:1;O2/24:0	HexCer 42:1(O2)|HexCer 18:1(O2/24:0)
HexCer 42:1;O3|HexCer 18:1;O2/24:0;O	HexCer 42:1(O3)|HexCer 18:1(O2/24:0;O)
HexCer 42:2;O2|HexCer 18:1;O2/24:1	HexCer 42:2(O2)|HexCer 18:1(O2/24:1)
HexCer 42:2;O3|HexCer 18:1;O2/24:1;O	HexCer 42:2(O3)|HexCer 18:1(O2/24:1;O)
HexCer 42:2;O3|HexCer 18:2;O2/24:0;O	HexCer 42:2(O3)|HexCer 18:2(O2/24:0;O)
HexCer 42:3;O2|HexCer 18:1;O2/24:2	HexCer 42:3(O2)|HexCer 18:1(O2/24:2)
LDGTS 19:3	LDGTS 19:3
LPA 28:2	LPA 28:2
LPC 16:0	LPC 16:0
LPC 16:0/0:0	LPC 16:0/0:0
LPC 18:0	LPC 18:0
LPC 18:0/0:0	LPC 18:0/0:0
LPC 18:1	LPC 18:1
LPC 18:1/0:0	LPC 18:1/0:0
LPC 18:2/0:0	LPC 18:2/0:0
LPC 20:3	LPC 20:3
LPC 20:4	LPC 20:4
LPC 22:6	LPC 22:6
LPE 16:0	LPE 16:0
LPE 18:0	LPE 18:0
LPE 18:1	LPE 18:1
LPE 18:1(d7)	LPE 18:1(d7)
LPE 22:6	LPE 22:6
LPE-N (FA)38:7|LPE-N (FA 16:1)22:6	LPEN (FA)38:7(m)|LPE-N (FA 16:1)22:6(m2)
LPE-N (FA)40:9|LPE-N (FA 18:3)22:6	LPEN (FA)40:9(m)|LPE-N (FA 18:3)22:6(m2)
LPS 37:1	LPS 37:1
MG 15:0	MG 15:0
MG 16:0	MG 16:0
MG 18:0	MG 18:0
MG 24:2	MG 24:2
MG 30:2	MG 30:2
MG 38:4	MG 38:4
MGDG 36:2|MGDG 18:1_18:1	MGDG 36:2(m)|MGDG 18:1_18:1(m2)
NAE 12:0	NAE 12:0
NAE 14:1	NAE 14:1
NAE 15:0	NAE 15:0
NAE 16:0	NAE 16:0
NAE 16:2	NAE 16:2
NAE 17:0	NAE 17:0
NAE 18:0	NAE 18:0
NAE 18:2	NAE 18:2
NAE 18:5	NAE 18:5
NAE 19:0	NAE 19:0
NAE 20:0	NAE 20:0
NAE 20:1	NAE 20:1
NAE 20:2	NAE 20:2
NAE 20:5	NAE 20:5
NAE 21:0	NAE 21:0
NAE 22:6	NAE 22:6
NAE 23:0	NAE 23:0
NAE 23:1	NAE 23:1
NAE 24:2	NAE 24:2
NAE 24:5	NAE 24:5
NAE 25:0	NAE 25:0
NAE 26:6	NAE 26:6
NAE 27:0	NAE 27:0
NAGly 18:0	NAGly 18:0
PC 30:0|PC 14:0_16:0	PC 30:0(m)|PC 14:0_16:0(m2)
PC 30:1	PC 30:1
PC 31:0	PC 31:0
PC 32:0	PC 32:0
